"track_id","track_name","track_popularity","album_name","album_type","album_label","album_popularity","artist_num","artist_name","artist_followers","artist_popularity","pop","hip_hop","rock","electro","christmas","cinema","latino","collab","explicit","danceability","energy","key","mode","time_signature","loudness","speechiness","acousticness","liveness","valence","tempo","duration","streams","year_release","month_release","day_release","weekday_release","year_week","month_week","week_index","rank_group"
"1cG0umU5TKStygKsPFZ9pY","Shed a Light",59,"Shed a Light","single","Tonspiel",47,3,"Robin Schulz",2973381,80,"TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE",0.483,0.787,"8","1","4",-5.244,0.102,0.112,0.257,0.58,122.058,191.379,9631026,"2016","11","25","viernes","2017","01",2,"31-40"
"43jBqV3j3Xi1g6wO0bhIMd","Now and Later",54,"Now and Later","single","Global Gemini",42,1,"Sage The Gemini",823185,65,"TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE",0.781,0.57,"11","0","4",-5.874,0.188,0.273,0.196,0.858,107.059,193.181,9520712,"2016","10","14","viernes","2017","01",2,"31-40"
"1a5Yu5L18qNxVhXx38njON","Hear Me Now",51,"Hear Me Now","single","Universal Music AB",39,3,"Alok",11836657,80,"TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE",0.788,0.43,"11","1","4",-7.757,0.0419,0.537,0.0936,0.461,121.996,192.846,9431454,"2016","01","01","viernes","2017","01",2,"31-40"
"6nxQdXa1uAL0rY72wPZu89","Love Me Now",65,"DARKNESS AND LIGHT","album","Columbia",54,1,"John Legend",6288572,78,"TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0.495,0.762,"8","1","4",-3.842,0.0862,0.591,0.0763,0.708,123.893,210.293,9359099,"2016","12","02","viernes","2017","01",2,"31-40"
"4Hf7WnR761jpxPr5D46Bcd","Treat You Better",0,"Illuminate","album","Universal Music LLC",0,1,"Shawn Mendes",39579574,85,"TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE",0.624,0.803,"10","0","4",-4.105,0.246,0.123,0.114,0.821,166.018,187.973,9342334,"2017","03","03","viernes","2017","01",2,"31-40"
"5hYTyyh2odQKphUbMqc5gN","How Far I'll Go - From ""Moana""",0,"How Far I'll Go (From ""Moana"")","single","Walt Disney Records",0,1,"Alessia Cara",10771387,75,"TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE",0.314,0.555,"9","1","4",-9.601,0.37,0.157,0.067,0.159,179.666,175.517,9304477,"2016","10","28","viernes","2017","01",2,"31-40"
"1D3ODoXHBLpdxolZRHWV1j","By Your Side",0,"By Your Side","single","Universal Music Group",0,2,"Jonas Blue",3639519,75,"TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE",0.696,0.743,"6","1","4",-3.838,0.0331,0.0778,0.0581,0.644,122.978,201.254,9197229,"2016","10","28","viernes","2017","01",2,"31-40"
"0QsvXIfqM0zZoerQfsI9lm","Don't Let Me Down (feat. Daya)",43,"The Chainsmokers- Japan Special Edition","album","Disruptor Records/Columbia",32,2,"The Chainsmokers",19562506,81,"TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE",0.542,0.859,"11","1","4",-5.651,0.197,0.16,0.137,0.403,159.797,208.053,8953677,"2016","08","10","miércoles","2017","01",2,"31-40"
"3AEZUABDXNtecAOSC1qTfo","Reggaetón Lento (Bailemos)",72,"Primera Cita","album","Sony Music Latin",63,1,"CNCO",9249702,71,"TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE",0.761,0.838,"4","0","4",-3.073,0.0502,0.4,0.176,0.71,93.974,222.56,8806925,"2016","08","26","viernes","2017","01",2,"31-40"
"0JiVRyTJcJnmlwCZ854K4p","Alone",62,"Alone","single","MER Recordings",51,1,"Alan Walker",35629528,81,"FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE",0.676,0.929,"10","1","4",-3.194,0.0458,0.186,0.121,0.157,97.019,161.2,8602986,"2016","12","02","viernes","2017","01",2,"31-40"
"7qiZfU4dY1lWllzX7mPBI3","Shape of You",85,"÷ (Deluxe)","album","Atlantic Records UK",83,1,"Ed Sheeran",103886909,91,"TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0.825,0.652,"1","0","4",-3.183,0.0802,0.581,0.0931,0.931,95.977,233.712,51021927,"2017","03","03","viernes","2017","01",3,"1-10"
"6PCUP3dWmTjcTtXY02oFdT","Castle on the Hill",78,"÷ (Deluxe)","album","Atlantic Records UK",83,1,"Ed Sheeran",103886909,91,"TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0.461,0.834,"2","1","4",-4.868,0.0989,0.0232,0.14,0.471,135.007,261.153,27323673,"2017","03","03","viernes","2017","01",3,"1-10"
"72jbDTw1piOOj770jWNeaG","Paris",74,"Memories...Do Not Open","album","Disruptor Records/Columbia",74,1,"The Chainsmokers",19562506,81,"TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE",0.653,0.658,"2","1","4",-6.428,0.0304,0.0215,0.0939,0.219,99.99,221.506,24678177,"2017","04","07","viernes","2017","01",3,"1-10"
"5aAx2yezTd8zXrkmtKl66Z","Starboy",0,"Starboy","album","Universal Music Group",0,2,"The Weeknd",51215861,94,"TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE",0.681,0.594,"7","1","4",-7.028,0.282,0.165,0.134,0.535,186.054,230.453,24480907,"2016","11","25","viernes","2017","01",3,"1-10"
"3NdDpSvN911VPGivFlV5d0","I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",0,"I Don’t Wanna Live Forever (Fifty Shades Darker)","single","Universal Music Group",0,2,"ZAYN",21433236,77,"TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE",0.735,0.451,"0","1","4",-8.374,0.0585,0.0631,0.325,0.0862,117.973,245.2,23924628,"2016","12","09","viernes","2017","01",3,"1-10"
"5knuzwU65gJK7IF5yJsuaW","Rockabye (feat. Sean Paul & Anne-Marie)",75,"Rockabye (feat. Sean Paul & Anne-Marie)","single","Atlantic Records UK",62,3,"Clean Bandit",4943046,76,"TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE",0.72,0.763,"9","0","4",-4.068,0.0523,0.406,0.18,0.742,101.965,251.088,22844114,"2016","10","21","viernes","2017","01",3,"1-10"
"7BKLCZ1jbUBVqRi2FVlTVw","Closer",84,"Closer","single","Disruptor Records/Columbia",71,2,"The Chainsmokers",19562506,81,"TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE",0.748,0.524,"8","1","4",-5.599,0.0338,0.414,0.111,0.661,95.01,244.96,20211268,"2016","07","29","viernes","2017","01",3,"1-10"
"5uCax9HTNlzGybIStD3vDh","Say You Won't Let Go",85,"Back from the Edge","album","Columbia",77,1,"James Arthur",10444361,81,"TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE",0.358,0.557,"10","1","4",-7.398,0.059,0.695,0.0902,0.494,85.043,211.466,19156532,"2016","10","28","viernes","2017","01",3,"1-10"
"5GXAXm5YOmYT0kL5jHvYBt","I Feel It Coming",74,"Starboy","album","Universal Republic Records",79,2,"The Weeknd",51215861,94,"TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE",0.773,0.819,"0","0","4",-5.946,0.118,0.426,0.0679,0.585,92.99,269.186,18566829,"2016","11","24","jueves","2017","01",3,"1-10"
"5MFzQMkrl1FOOng9tq6R9r","Don't Wanna Know",0,"Don't Wanna Know","single","Universal Music Group",0,2,"Maroon 5",38266644,86,"TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE",0.783,0.623,"7","1","4",-6.126,0.08,0.338,0.0975,0.447,100.048,214.48,18411654,"2016","10","11","martes","2017","01",3,"1-10"
"343YBumqHu19cGoGARUTsd","Fake Love",74,"More Life","album","Cash Money Records/Young Money Ent./Universal Rec.",80,1,"Drake",67940172,95,"TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE",0.928,0.481,"9","0","4",-9.35,0.287,0.105,0.176,0.613,134.007,210.937,18376989,"2017","03","18","sábado","2017","01",3,"11-20"
"4Km5HrUvYTaSUfiSGPJeQR","Bad and Boujee (feat. Lil Uzi Vert)",12,"Culture","album","Quality Control Music",8,2,"Migos",12596174,77,"TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE",0.926,0.666,"11","1","4",-5.314,0.244,0.0611,0.123,0.168,127.079,343.15,16765636,"2017","04","07","viernes","2017","01",3,"11-20"
"78rIJddV4X0HkNAInEcYde","Call On Me - Ryan Riback Extended Remix",43,"Call On Me (Remixes)","single","All Around The World",34,2,"Starley",175677,58,"TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE",0.67,0.838,"0","1","4",-4.031,0.0362,0.0604,0.159,0.717,104.998,222.04,16094980,"2016","10","14","viernes","2017","01",3,"11-20"
"4pdPtRcBmOSQDlJ3Fk945m","Let Me Love You",2,"Encore","album","Universal Music Group",0,2,"DJ Snake",8137850,78,"TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE",0.476,0.718,"8","1","4",-5.309,0.0576,0.0784,0.122,0.142,199.864,205.946,16040294,"2016","08","05","viernes","2017","01",3,"11-20"
"6mICuAdrwEjh6Y6lroV2Kg","Chantaje (feat. Maluma)",76,"El Dorado","album","Sony Music Latin",69,2,"Shakira",25286838,86,"TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE",0.852,0.773,"8","0","4",-2.921,0.0776,0.187,0.159,0.907,102.034,195.84,15422957,"2017","05","26","viernes","2017","01",3,"11-20"
"6b8Be6ljOzmkOmFslEb23P","24K Magic",79,"24K Magic","album","Atlantic Records",77,1,"Bruno Mars",43809074,88,"TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE",0.818,0.803,"1","1","4",-4.282,0.0797,0.034,0.153,0.632,106.97,225.983,15364799,"2016","11","17","jueves","2017","01",3,"11-20"
"3EmmCZoqpWOTY1g2GBwJoR","Just Hold On",63,"Just Hold On","single","Ultra Records, LLC",50,2,"Steve Aoki",3696983,74,"TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE",0.647,0.932,"11","1","4",-3.515,0.0824,0.00383,0.0574,0.374,114.991,198.774,15181450,"2016","12","10","sábado","2017","01",3,"11-20"
"1PSBzsahR2AKwLJgx8ehBj","Bad Things (with Camila Cabello)",72,"bloom","album","Bad Boy / Interscope",61,2,"Machine Gun Kelly",4830655,81,"TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE",0.697,0.691,"2","1","4",-4.757,0.146,0.214,0.185,0.305,137.853,239.293,14805806,"2017","05","12","viernes","2017","01",3,"11-20"
"6fujklziTHa8uoM5OQSfIo","Black Beatles",76,"SremmLife 2 (Deluxe)","album","Mike WiLL Made-It",69,2,"Rae Sremmurd",6954252,73,"TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE",0.794,0.632,"0","1","4",-6.163,0.0649,0.142,0.128,0.355,145.926,291.893,13484864,"2016","08","12","viernes","2017","01",3,"11-20"
"4pLwZjInHj3SimIyN9SnOz","Side To Side",0,"Dangerous Woman","album","Universal Music Group",0,2,"Ariana Grande",84118189,89,"TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","TRUE",0.648,0.738,"6","0","4",-5.883,0.247,0.0408,0.292,0.603,159.145,226.16,12533265,"2016","05","20","viernes","2017","01",3,"11-20"
"1xznGGDReH1oQq0xzbwXa3","One Dance",0,"Views","album","Universal Music Group",0,3,"Drake",67940172,95,"TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE",0.791,0.619,"1","1","4",-5.886,0.0532,0.00784,0.351,0.371,103.989,173.986,12416721,"2016","05","06","viernes","2017","01",3,"21-30"
"6DNtNfH8hXkqOX1sjqmI7p","Cold Water (feat. Justin Bieber & MØ)",0,"Cold Water (feat. Justin Bieber & MØ)","single","Because Music/WMI",0,3,"Major Lazer",6310302,75,"TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE",0.608,0.798,"6","0","4",-5.092,0.0432,0.0736,0.156,0.501,92.943,185.351,12220216,"2016","07","22","viernes","2017","01",3,"21-30"
"4TZy1wLyHec06pwgFYDh1a","Mercy",0,"Illuminate","album","Universal Music LLC",0,1,"Shawn Mendes",39579574,85,"TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE",0.469,0.68,"11","0","4",-4.921,0.117,0.137,0.11,0.374,147.734,208.733,12117665,"2017","03","03","viernes","2017","01",3,"21-30"
"04DwTuZ2VBdJCCC5TROn7L","In the Name of Love",21,"The Martin Garrix Collection","compilation","Epic Amsterdam",14,2,"Martin Garrix",15633727,77,"TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE",0.49,0.485,"4","0","4",-6.237,0.0406,0.0592,0.337,0.196,133.889,195.84,11960712,"2017","04","21","viernes","2017","01",3,"21-30"
"2rizacJSyD9S1IQUxUxnsK","All We Know",70,"All We Know","single","Disruptor Records/Columbia",57,2,"The Chainsmokers",19562506,81,"TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE",0.662,0.586,"0","1","4",-8.821,0.0307,0.097,0.115,0.296,90,194.08,11587191,"2016","09","29","jueves","2017","01",3,"21-30"
"5hYTyyh2odQKphUbMqc5gN","How Far I'll Go - From ""Moana""",0,"How Far I'll Go (From ""Moana"")","single","Walt Disney Records",0,1,"Alessia Cara",10771387,75,"TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE",0.314,0.555,"9","1","4",-9.601,0.37,0.157,0.067,0.159,179.666,175.517,11507268,"2016","10","28","viernes","2017","01",3,"21-30"
"1yNyoWWWikbLhwIGWjZuDW","All Night",0,"All Night","single","Universal Music Group",0,2,"The Vamps",5397616,70,"TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE",0.563,0.775,"8","1","4",-6.433,0.0366,0.00251,0.326,0.458,144.945,197.793,11111069,"2016","10","14","viernes","2017","01",3,"21-30"
"1a5Yu5L18qNxVhXx38njON","Hear Me Now",51,"Hear Me Now","single","Universal Music AB",39,3,"Alok",11836657,80,"TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE",0.788,0.43,"11","1","4",-7.757,0.0419,0.537,0.0936,0.461,121.996,192.846,10828136,"2016","01","01","viernes","2017","01",3,"21-30"
"43jBqV3j3Xi1g6wO0bhIMd","Now and Later",54,"Now and Later","single","Global Gemini",42,1,"Sage The Gemini",823185,65,"TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE",0.781,0.57,"11","0","4",-5.874,0.188,0.273,0.196,0.858,107.059,193.181,10624362,"2016","10","14","viernes","2017","01",3,"21-30"
"4Q4jmPHwu0wrJvqrld0FQ6","I Would Like",57,"So Good","album","Epic/Record Company TEN",70,1,"Zara Larsson",10358106,76,"TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE",0.486,0.713,"2","0","4",-3.949,0.0524,0.0853,0.0839,0.297,121.028,226.72,10503561,"2017","03","17","viernes","2017","01",3,"21-30"
"1cG0umU5TKStygKsPFZ9pY","Shed a Light",59,"Shed a Light","single","Tonspiel",47,3,"Robin Schulz",2973381,80,"TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE",0.483,0.787,"8","1","4",-5.244,0.102,0.112,0.257,0.58,122.058,191.379,10420854,"2016","11","25","viernes","2017","01",3,"31-40"
"1vvNmPOiUuyCbgWmtc6yfm","My Way",75,"My Way","single","Columbia",63,1,"Calvin Harris",22904843,85,"TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE",0.818,0.913,"4","0","4",-3.06,0.0426,0.093,0.161,0.536,119.986,219.159,10352351,"2016","09","16","viernes","2017","01",3,"31-40"
"1qOLh0tI7trd1zdDKxYZTe","Starving",0,"HAIZ","single","Universal Music Group",0,3,"Hailee Steinfeld",8124904,73,"TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","TRUE",0.636,0.633,"4","1","4",-4.23,0.126,0.371,0.102,0.512,99.721,181.88,10237780,"2016","07","15","viernes","2017","01",3,"31-40"
"0prNGof3XqfTvNDxHonvdK","Scars To Your Beautiful",8,"Know-It-All (Deluxe)","album","EP Entertainment, LLC / Def Jam",4,1,"Alessia Cara",10771387,75,"TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE",0.573,0.739,"0","1","4",-5.74,0.129,0.0285,0.111,0.451,97.085,230.226,10191078,"2015","11","13","viernes","2017","01",3,"31-40"
"6nxQdXa1uAL0rY72wPZu89","Love Me Now",65,"DARKNESS AND LIGHT","album","Columbia",54,1,"John Legend",6288572,78,"TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0.495,0.762,"8","1","4",-3.842,0.0862,0.591,0.0763,0.708,123.893,210.293,10111228,"2016","12","02","viernes","2017","01",3,"31-40"
"1D3ODoXHBLpdxolZRHWV1j","By Your Side",0,"By Your Side","single","Universal Music Group",0,2,"Jonas Blue",3639519,75,"TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE",0.696,0.743,"6","1","4",-3.838,0.0331,0.0778,0.0581,0.644,122.978,201.254,9747407,"2016","10","28","viernes","2017","01",3,"31-40"
"6i0V12jOa3mr6uu4WYhUBr","Heathens",81,"Heathens","single","Atlantic Records",68,1,"Twenty One Pilots",22671399,81,"FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0.732,0.396,"4","0","4",-9.348,0.0286,0.0841,0.105,0.548,90.024,195.92,9487799,"2016","06","16","jueves","2017","01",3,"31-40"
"6HUnnBwYZqcED1eQztxMBN","Solo Dance",0,"Solo Dance","single","Virgin",0,1,"Martin Jensen",1291738,67,"TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE",0.744,0.836,"6","0","4",-2.396,0.0507,0.0435,0.194,0.36,114.965,174.933,9222026,"2016","11","04","viernes","2017","01",3,"31-40"
"0JiVRyTJcJnmlwCZ854K4p","Alone",62,"Alone","single","MER Recordings",51,1,"Alan Walker",35629528,81,"FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE",0.676,0.929,"10","1","4",-3.194,0.0458,0.186,0.121,0.157,97.019,161.2,9193283,"2016","12","02","viernes","2017","01",3,"31-40"
"3AEZUABDXNtecAOSC1qTfo","Reggaetón Lento (Bailemos)",72,"Primera Cita","album","Sony Music Latin",63,1,"CNCO",9249702,71,"TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE",0.761,0.838,"4","0","4",-3.073,0.0502,0.4,0.176,0.71,93.974,222.56,9188831,"2016","08","26","viernes","2017","01",3,"31-40"
"7qiZfU4dY1lWllzX7mPBI3","Shape of You",85,"÷ (Deluxe)","album","Atlantic Records UK",83,1,"Ed Sheeran",103886909,91,"TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0.825,0.652,"1","0","4",-3.183,0.0802,0.581,0.0931,0.931,95.977,233.712,51124648,"2017","03","03","viernes","2017","01",4,"1-10"
"72jbDTw1piOOj770jWNeaG","Paris",74,"Memories...Do Not Open","album","Disruptor Records/Columbia",74,1,"The Chainsmokers",19562506,81,"TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE",0.653,0.658,"2","1","4",-6.428,0.0304,0.0215,0.0939,0.219,99.99,221.506,28197386,"2017","04","07","viernes","2017","01",4,"1-10"
"6PCUP3dWmTjcTtXY02oFdT","Castle on the Hill",78,"÷ (Deluxe)","album","Atlantic Records UK",83,1,"Ed Sheeran",103886909,91,"TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0.461,0.834,"2","1","4",-4.868,0.0989,0.0232,0.14,0.471,135.007,261.153,25030348,"2017","03","03","viernes","2017","01",4,"1-10"
"3NdDpSvN911VPGivFlV5d0","I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",0,"I Don’t Wanna Live Forever (Fifty Shades Darker)","single","Universal Music Group",0,2,"ZAYN",21433236,77,"TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE",0.735,0.451,"0","1","4",-8.374,0.0585,0.0631,0.325,0.0862,117.973,245.2,23493247,"2016","12","09","viernes","2017","01",4,"1-10"
"5aAx2yezTd8zXrkmtKl66Z","Starboy",0,"Starboy","album","Universal Music Group",0,2,"The Weeknd",51215861,94,"TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE",0.681,0.594,"7","1","4",-7.028,0.282,0.165,0.134,0.535,186.054,230.453,22925769,"2016","11","25","viernes","2017","01",4,"1-10"
"5knuzwU65gJK7IF5yJsuaW","Rockabye (feat. Sean Paul & Anne-Marie)",75,"Rockabye (feat. Sean Paul & Anne-Marie)","single","Atlantic Records UK",62,3,"Clean Bandit",4943046,76,"TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE",0.72,0.763,"9","0","4",-4.068,0.0523,0.406,0.18,0.742,101.965,251.088,22525750,"2016","10","21","viernes","2017","01",4,"1-10"
"7BKLCZ1jbUBVqRi2FVlTVw","Closer",84,"Closer","single","Disruptor Records/Columbia",71,2,"The Chainsmokers",19562506,81,"TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE",0.748,0.524,"8","1","4",-5.599,0.0338,0.414,0.111,0.661,95.01,244.96,19330447,"2016","07","29","viernes","2017","01",4,"1-10"
"5uCax9HTNlzGybIStD3vDh","Say You Won't Let Go",85,"Back from the Edge","album","Columbia",77,1,"James Arthur",10444361,81,"TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE",0.358,0.557,"10","1","4",-7.398,0.059,0.695,0.0902,0.494,85.043,211.466,19155590,"2016","10","28","viernes","2017","01",4,"1-10"
"5GXAXm5YOmYT0kL5jHvYBt","I Feel It Coming",74,"Starboy","album","Universal Republic Records",79,2,"The Weeknd",51215861,94,"TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE",0.773,0.819,"0","0","4",-5.946,0.118,0.426,0.0679,0.585,92.99,269.186,18241454,"2016","11","24","jueves","2017","01",4,"1-10"
"5MFzQMkrl1FOOng9tq6R9r","Don't Wanna Know",0,"Don't Wanna Know","single","Universal Music Group",0,2,"Maroon 5",38266644,86,"TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE",0.783,0.623,"7","1","4",-6.126,0.08,0.338,0.0975,0.447,100.048,214.48,17666947,"2016","10","11","martes","2017","01",4,"1-10"
"343YBumqHu19cGoGARUTsd","Fake Love",74,"More Life","album","Cash Money Records/Young Money Ent./Universal Rec.",80,1,"Drake",67940172,95,"TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE",0.928,0.481,"9","0","4",-9.35,0.287,0.105,0.176,0.613,134.007,210.937,16995174,"2017","03","18","sábado","2017","01",4,"11-20"
"4Km5HrUvYTaSUfiSGPJeQR","Bad and Boujee (feat. Lil Uzi Vert)",12,"Culture","album","Quality Control Music",8,2,"Migos",12596174,77,"TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE",0.926,0.666,"11","1","4",-5.314,0.244,0.0611,0.123,0.168,127.079,343.15,16285363,"2017","04","07","viernes","2017","01",4,"11-20"
"78rIJddV4X0HkNAInEcYde","Call On Me - Ryan Riback Extended Remix",43,"Call On Me (Remixes)","single","All Around The World",34,2,"Starley",175677,58,"TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE",0.67,0.838,"0","1","4",-4.031,0.0362,0.0604,0.159,0.717,104.998,222.04,16227511,"2016","10","14","viernes","2017","01",4,"11-20"
"4aWmUDTfIPGksMNLV2rQP2","Despacito (Featuring Daddy Yankee)",1,"Despacito (Featuring Daddy Yankee)","single","Universal Music Group",0,2,"Luis Fonsi",10649759,75,"TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE",0.66,0.786,"2","1","4",-4.757,0.17,0.209,0.112,0.846,177.833,228.2,16208528,"2017","01","13","viernes","2017","01",4,"11-20"
"6mICuAdrwEjh6Y6lroV2Kg","Chantaje (feat. Maluma)",76,"El Dorado","album","Sony Music Latin",69,2,"Shakira",25286838,86,"TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE",0.852,0.773,"8","0","4",-2.921,0.0776,0.187,0.159,0.907,102.034,195.84,15385694,"2017","05","26","viernes","2017","01",4,"11-20"
"4pdPtRcBmOSQDlJ3Fk945m","Let Me Love You",2,"Encore","album","Universal Music Group",0,2,"DJ Snake",8137850,78,"TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE",0.476,0.718,"8","1","4",-5.309,0.0576,0.0784,0.122,0.142,199.864,205.946,15352727,"2016","08","05","viernes","2017","01",4,"11-20"
